"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL013W",162.145133333337,-0.229919994685466,0.117202456233035,-1.9617335854149,0.0497935095125983,0.114972449648885
"YAL014C",156.068732984884,0.24192920507258,0.115782090084328,2.08952183274956,0.0366607747184437,0.089486261687259
"YAL015C",78.0119086801196,-0.326535427911758,0.173024996191903,-1.88721534517241,0.0591313671680036,0.132845949977299
"YAL016C-A",19.3742372583683,0.95619514670815,0.311879925999641,3.06590795686302,0.0021701010792853,0.00824481912454427
"YAL016C-B",5.81085067535536,-0.904806183696862,0.624993766748481,-1.44770433216334,0.147699757849511,0.267016834179185
"YAL016W",227.770689872764,-0.0862791616122617,0.0934559502970166,-0.923206722932611,0.355899485996702,0.509164188837102
"YAL017W",177.297683839941,0.195388145173885,0.106884362093302,1.82803303820371,0.0675445934053208,0.147844633546136
"YAL018C",0.075442125546796,0.671886301116372,3.5338115409304,0.190130767680801,0.849206660687331,NA
"YAL019W",65.352961712833,0.523722456917083,0.177730840886032,2.94671681237875,0.00321167180371591,0.0116156688461625
"YAL019W-A",18.0868100934011,1.32040771398031,0.365428664454174,3.61331182367028,0.000302310776401863,0.00139258686058076
"YAL020C",108.077932069248,0.205098482346081,0.138158460164202,1.48451627285307,0.137672009333097,0.254417551301912
"YAL021C",150.557584029864,0.32893658923087,0.111848849846497,2.94090274224821,0.00327257268134558,0.0118159185298349
"YAL022C",148.729455974751,0.122268862526895,0.116664534049823,1.04803797934579,0.294621109010574,0.447023356863689
"YAL023C",500.72174212668,0.334767082966971,0.0629773802938287,5.31567177620083,1.0626454787552e-07,8.04556253495854e-07
"YAL024C",29.0479813519944,-0.665329144012358,0.272334224801905,-2.4430610750313,0.014563272476717,0.0418391862977382
"YAL025C",58.4028128213869,0.838844931087534,0.189660736403857,4.42287079019521,9.73979951473048e-06,5.9206742819352e-05
"YAL026C",131.568597155362,-0.0177509339915893,0.126825721895823,-0.139963200888934,0.888689065568852,0.934046928100795
"YAL026C-A",14.9237720491519,-1.12921719175371,0.404628984993466,-2.79074716254433,0.00525865330489721,0.0175807542007193
"YAL027W",34.2194489875987,-0.0807849774373061,0.238773376453535,-0.33833327080763,0.735112054018138,0.831820011724122
